epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_epoch,train/loss_step,train/masked_tokens,train/variance_explained,val/effective_rank,val/loss,val/masked_tokens,val/rank_ceiling,val/rank_fraction,val/variance_explained
,3.4198213034724624e-06,3.4198213034724624e-06,2399,,,,,,,,,,
66,,,2399,,0.7578864693641663,,,,,,,,
66,,,2411,,,,,6.0,0.8787958025932312,144.0,21.0,0.2857142984867096,0.12120416015386581
66,,,2411,0.7651499509811401,,144.0,0.23485009372234344,,,,,,
,3.2039944783201562e-06,3.2039944783201562e-06,2419,,,,,,,,,,
67,,,2419,,0.8223211765289307,,,,,,,,
,2.9944220035064367e-06,2.9944220035064367e-06,2439,,,,,,,,,,
67,,,2439,,0.6420877575874329,,,,,,,,
67,,,2447,,,,,6.0,0.8688125610351562,144.0,21.0,0.2857142984867096,0.13118746876716614
67,,,2447,0.7595301866531372,,144.0,0.2404697686433792,,,,,,
,2.7912094050836345e-06,2.7912094050836345e-06,2459,,,,,,,,,,
68,,,2459,,0.8149638772010803,,,,,,,,
,2.5944590067148116e-06,2.5944590067148116e-06,2479,,,,,,,,,,
68,,,2479,,0.8716263771057129,,,,,,,,
68,,,2483,,,,,6.0,0.8696494102478027,144.0,21.0,0.2857142984867096,0.13035058975219727
